Data;25435 - Taxa média mensal de juros das operações de crédito - Pessoas físicas - Total - % a.m.
03/2011;2,62
04/2011;2,66
05/2011;2,65
06/2011;2,63
07/2011;2,65
08/2011;2,60
09/2011;2,61
10/2011;2,65
11/2011;2,58
12/2011;2,47
01/2012;2,53
02/2012;2,55
03/2012;2,53
04/2012;2,49
05/2012;2,36
06/2012;2,31
07/2012;2,26
08/2012;2,20
09/2012;2,20
10/2012;2,15
11/2012;2,11
12/2012;2,03
01/2013;2,04
02/2013;2,08
03/2013;2,04
04/2013;2,03
05/2013;2,01
06/2013;2,02
07/2013;2,05
08/2013;2,06
09/2013;2,08
10/2013;2,12
11/2013;2,13
12/2013;2,09
01/2014;2,16
02/2014;2,22
03/2014;2,25
04/2014;2,22
05/2014;2,23
06/2014;2,24
07/2014;2,25
08/2014;2,25
09/2014;2,21
10/2014;2,26
11/2014;2,27
12/2014;2,21
01/2015;2,30
02/2015;2,36
03/2015;2,37
04/2015;2,42
05/2015;2,48
06/2015;2,52
07/2015;2,58
08/2015;2,62
09/2015;2,65
10/2015;2,71
11/2015;2,74
12/2015;2,68
01/2016;2,77
02/2016;2,81
03/2016;2,86
04/2016;2,91
05/2016;2,93
06/2016;2,91
07/2016;2,92
08/2016;2,93
09/2016;2,97
10/2016;2,98
11/2016;2,98
12/2016;2,92
01/2017;2,93
02/2017;2,89
03/2017;2,88
04/2017;2,71
05/2017;2,59
06/2017;2,58
07/2017;2,62
08/2017;2,56
09/2017;2,44
10/2017;2,46
11/2017;2,42
12/2017;2,31
01/2018;2,33
02/2018;2,39
03/2018;2,37
04/2018;2,37
05/2018;2,27
06/2018;2,24
07/2018;2,21
08/2018;2,20
09/2018;2,20
10/2018;2,21
11/2018;2,21
12/2018;2,12
01/2019;2,21
02/2019;2,25
03/2019;2,28
04/2019;2,28
05/2019;2,27
06/2019;2,28
07/2019;2,26
08/2019;2,27
09/2019;2,22
10/2019;2,17
11/2019;2,19
12/2019;2,10
01/2020;2,09
02/2020;2,13
03/2020;2,10
04/2020;2,00
05/2020;1,95
06/2020;1,85
07/2020;1,83
08/2020;1,78
09/2020;1,75
10/2020;1,78
11/2020;1,75
12/2020;1,72
01/2021;1,80
02/2021;1,82
03/2021;1,84
04/2021;1,86
05/2021;1,82
06/2021;1,82
07/2021;1,82
08/2021;1,86
09/2021;1,89
10/2021;1,98
11/2021;2,04
12/2021;2,09
01/2022;2,15
02/2022;2,19
03/2022;2,28
04/2022;2,31
05/2022;2,34
06/2022;2,38
07/2022;2,45
08/2022;2,47
09/2022;2,45
10/2022;2,55
11/2022;2,60
12/2022;2,53
01/2023;2,55
02/2023;2,57
03/2023;2,61
04/2023;2,67
05/2023;2,67
06/2023;2,63
07/2023;2,60
08/2023;2,56
09/2023;2,52
10/2023;2,48
11/2023;2,47
12/2023;2,42
01/2024;2,36
02/2024;2,36
03/2024;2,39
04/2024;2,38
05/2024;2,37
06/2024;2,38
07/2024;2,37
08/2024;2,35
09/2024;2,36
10/2024;2,37
11/2024;2,40
12/2024;2,41
01/2025;2,47
02/2025;2,54
03/2025;2,57
04/2025;2,60
05/2025;2,62
06/2025;2,64
07/2025;2,61
08/2025;2,62
09/2025;2,61
10/2025;2,63
11/2025;2,70
12/2025;2,69
Fonte;BCB-DSTAT
